Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/Done,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-0.09265017220230089,0.0,1000.0,0.0,1,20000,68,0.02103767730295658,0.00029939999999999996,0.004426676799517429,0.0029002723436482064,-0.018012199876407727,21.512356519699097,93.51288890838623,115.02524781227112,-3.8146971692576415e-10,3.8146971692576415e-10
-0.09316849574200428,0.0,1000.0,0.0,2,40000,1,0.022347556427121162,0.00029879999999999994,0.002040753281636598,0.000548014273259271,-0.009884335002460228,21.942725896835327,1.3355963230133057,23.278323650360107,3.6239624634504253e-09,-4.768371461572052e-11
0.1423623433734124,0.0,1000.0,0.0,3,60000,21,0.020985715091228485,0.00029819999999999993,0.001719838969609814,0.0003382124979718519,-0.01968465252863304,21.78527522087097,32.026466608047485,53.81174421310425,-1.201629640235069e-08,-1.9669532669297496e-10
0.4228637588148157,0.0,1000.0,0.0,4,80000,13,0.021693747490644455,0.0002975999999999999,0.0016319812416375045,0.00021104563534265862,-0.01676726692936844,22.07075262069702,18.15169882774353,40.22245264053345,1.6975402417074292e-08,-8.9406971409689e-12
0.5969807016669797,0.0,1000.0,0.0,5,100000,23,0.021974638104438782,0.0002969999999999999,0.0011200110464517127,0.00011205357322052625,-0.019805822414719267,22.290642261505127,31.36137580871582,53.65201950073242,-1.2183189568304442e-08,7.897615200702646e-11
0.6967960391446002,0.0,1000.0,0.0,6,120000,16,0.023930629715323448,0.0002963999999999999,0.0011206138173316103,1.5759110176430275e-05,-0.019965661628084025,22.172338008880615,32.40146493911743,54.57380509376526,-1.2207030941624453e-08,2.980232380322967e-11
0.7323353889345461,0.0,1000.0,0.0,7,140000,18,0.021066728979349136,0.00029579999999999987,0.001086275091573393,3.4892850955927713e-08,-0.01849984676921975,22.66120934486389,30.28136706352234,52.94257831573486,-1.4495849853801701e-08,-1.1003576522172764e-10
0.7222270551483205,0.0,1000.0,0.0,8,160000,23,0.020868461579084396,0.0002951999999999999,0.0010155147733648712,2.4135404682710478e-08,-0.02132319251507089,22.406128406524658,30.09392809867859,52.50005769729614,9.727478378351861e-09,1.8267892754053605e-10
0.6815866451137949,0.0,1000.0,0.0,9,180000,17,0.020025307312607765,0.0002945999999999999,0.0009931095255238823,1.699172622087517e-08,-0.020202353423322345,22.055695056915283,21.880853176116943,43.9365496635437,-2.479553229406406e-09,1.4463440167755692e-10
0.679165404201271,0.0,1000.0,0.0,10,200000,12,0.02126471698284149,0.0002939999999999999,0.001297317747273026,1.2230725853708234e-08,-0.017347141203105536,22.09007167816162,15.557931184768677,37.64800405502319,-2.38418573772492e-09,-8.367933429509478e-11
0.7138669169051732,0.0,1000.0,0.0,11,220000,10,0.02067585662007332,0.00029339999999999987,0.001468369312928067,8.869127911751751e-09,-0.014666787420247738,21.713951110839844,13.278345823287964,34.99229836463928,4.291534239087014e-09,3.3015385564327815e-11
0.8088752295936394,0.0,1000.0,0.0,12,240000,11,0.022093195468187332,0.0002927999999999999,0.0015842828718659197,6.267800327870037e-09,-0.01668133174718149,21.830849170684814,14.751015424728394,36.58186650276184,2.8610229740877458e-09,9.018694818729855e-11
0.8577908429692679,0.0,1000.0,0.0,13,260000,12,0.020804723724722862,0.0002921999999999999,0.001742344343206866,4.446282387473106e-09,-0.01829205488022893,21.97574496269226,15.53556227684021,37.511308908462524,3.5762786065873797e-09,1.6763806055114516e-12
0.9196907082656345,0.0,1000.0,0.0,14,280000,11,0.022749681025743484,0.0002915999999999999,0.0017478194606693036,3.1822655691389186e-09,-0.018591120702314893,22.00338864326477,14.40775465965271,36.41114568710327,3.814697446813398e-09,2.37487265096481e-12
0.951791024052364,0.0,1000.0,0.0,15,300000,6,0.020103182643651962,0.00029099999999999986,0.002011658115690838,2.4441154419249605e-09,-0.010171794331076142,22.32182478904724,8.054344892501831,30.376171112060547,-7.629394893626795e-09,-1.1827796554675363e-11
0.8577031202294098,0.0,1000.0,0.0,16,320000,12,0.021574275568127632,0.00029039999999999985,0.0020009067298036617,1.751757404084624e-09,-0.018988943653097137,21.908397436141968,16.076542377471924,37.984941720962524,-5.7220459481754915e-09,4.525645483366425e-11
0.8146446925750912,0.0,1000.0,0.0,17,340000,4,0.02259691059589386,0.00028979999999999983,0.0015374597058982586,1.4252016876297314e-09,-0.006349977860509897,22.15107536315918,5.345536947250366,27.49661374092102,6.675720420901143e-09,2.619926844915632e-11
0.7524832518565127,0.0,1000.0,0.0,18,360000,8,0.02035665512084961,0.0002891999999999998,0.0018758392442644873,9.862206762551694e-10,-0.014607325809585235,22.112051248550415,10.469117879867554,32.58117055892944,6.866454960174906e-09,5.547189877580516e-12
0.7338826733702106,0.0,1000.0,0.0,19,380000,8,0.021428268402814865,0.0002885999999999998,0.0017665436121481902,7.952992670706652e-10,-0.013360102327236275,21.916168928146362,10.324421644210815,32.24059176445007,-2.7656554824062596e-09,7.357447984190912e-12
0.7331224880748964,0.0,1000.0,0.0,20,400000,5,0.02371044270694256,0.00028799999999999984,0.0017307402398705053,6.582523422149524e-10,-0.009517892464376487,22.1819851398468,6.451396465301514,28.63338303565979,3.1471252270875993e-09,-1.0308576908757416e-11
