Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/Done,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-0.1923259178509604,0.0,1000.0,0.0,1,20000,100,0.017333975061774254,0.00029969999999999997,0.0035805630365244524,0.0016545742227563475,-0.013828481940014032,22.547020435333252,124.33272290229797,146.87974524497986,9.536743617033494e-10,-5.960464326965065e-12
-0.14715223063916585,0.0,1000.0,0.0,2,40000,66,0.02120555192232132,0.00029939999999999996,0.0007498344171947399,0.00038264287923797565,-0.01993444479012537,22.163273334503174,81.49312138557434,103.65639615058899,5.865096852630813e-09,1.0635703429073828e-09
-0.08601844665495087,0.0,1000.0,0.0,3,60000,21,0.020446233451366425,0.00029909999999999995,0.0005239762154559548,0.00025392255489583383,-0.014148246563438858,21.595112800598145,26.186943292617798,47.78205752372742,3.128051773160223e-08,-2.604722881827115e-09
0.015579871668010536,0.0,1000.0,0.0,4,80000,76,0.02068498358130455,0.00029879999999999994,0.0003059700079574358,0.00015948787094008314,-0.020183637788615105,21.823999166488647,94.63872575759888,116.46272611618042,7.1525572131747595e-09,1.0401010053229243e-09
0.08821740016865373,0.0,1000.0,0.0,5,100000,38,0.02199871465563774,0.00029849999999999994,0.00024766787467489173,9.11266043545831e-05,-0.01936591510946239,22.058449745178223,47.15390467643738,69.21235609054565,1.3351440841802287e-08,2.2016465039964572e-10
0.09575198588990802,0.0,1000.0,0.0,6,120000,37,0.024836324155330658,0.00029819999999999993,0.00019840798183130815,3.0436508755870516e-05,-0.020417924884160055,21.711479663848877,49.26344013214111,70.97492289543152,8.106231796922714e-10,3.7439168432129577e-10
0.11375219677732576,0.0,1000.0,0.0,7,140000,23,0.020240141078829765,0.0002978999999999999,0.00014892682708124989,1.971796873551244e-06,-0.01735172978608689,22.1063871383667,28.598206281661987,50.70459485054016,1.5878677928071738e-08,4.377216089590519e-10
0.13733598617832404,0.0,1000.0,0.0,8,160000,13,0.02003990113735199,0.0002975999999999999,0.00012488687230201496,1.3941106831396616e-06,-0.009723458204278345,22.107859134674072,15.869946479797363,37.97780680656433,3.933906533859499e-09,1.050531883706185e-10
0.15281585134846243,0.0,1000.0,0.0,9,180000,27,0.02119041420519352,0.0002972999999999999,0.00010503640877059532,9.537818363350234e-07,-0.0174147239770787,22.261932134628296,38.890252113342285,61.152185678482056,-4.577636936176077e-09,-1.963228052348498e-10
0.1588265408466067,0.0,1000.0,0.0,10,200000,26,0.020133081823587418,0.0002969999999999999,7.260054668458473e-05,6.638694733618882e-07,-0.016135053712067613,22.63576364517212,31.896389961242676,54.53215527534485,4.529952857268427e-09,-6.122514717432637e-10
0.1727721698804446,0.0,1000.0,0.0,11,220000,18,0.020394891500473022,0.0002966999999999999,8.864689198178666e-05,4.6426260923144994e-07,-0.01857106569383451,21.974489212036133,22.765586853027344,44.74007773399353,2.00271599304358e-09,-3.4570693530078245e-10
0.19023761494111407,0.0,1000.0,0.0,12,240000,14,0.020267264917492867,0.0002963999999999999,0.00010738277780687229,3.2318480836915484e-07,-0.016590297537803094,22.184552907943726,17.908634424209595,40.09318923950195,-8.416176200398695e-09,-3.1525268506804593e-10
0.20584015205147427,0.0,1000.0,0.0,13,260000,17,0.021493487060070038,0.0002960999999999999,9.115805279022344e-05,2.2306285520179408e-07,-0.017298242269630643,21.907721281051636,21.405425786972046,43.313148498535156,1.3351439953623867e-09,-1.1827796554675363e-11
0.21821216595114556,0.0,1000.0,0.0,14,280000,16,0.021519707515835762,0.00029579999999999987,9.108206617080335e-05,1.5454024167424837e-07,-0.017315680611251553,21.85680365562439,19.549621105194092,41.406426191329956,-9.536743617033494e-10,-3.4281982808082034e-10
0.24845011625629843,0.0,1000.0,0.0,15,300000,13,0.021430715918540955,0.00029549999999999986,0.00010935205433316357,1.0827340537767901e-07,-0.014798503780280213,22.586141347885132,16.645039319992065,39.23118185997009,5.2452087118126656e-09,1.356936923935237e-10
0.28031128100760144,0.0,1000.0,0.0,16,320000,15,0.021851077675819397,0.00029519999999999986,0.00011514752221858034,7.536853976352336e-08,-0.0184302808841863,22.36192274093628,18.862019062042236,41.22394394874573,-9.918212917625624e-09,1.7182900935441836e-10
0.287897417959916,0.0,1000.0,0.0,17,340000,11,0.021809102967381477,0.00029489999999999985,0.00015724102054651213,5.303531001966818e-08,-0.016036659490366877,22.25244402885437,14.033931255340576,36.28637719154358,-3.8146971692576415e-10,-1.3536773091349374e-10
0.3017209967537403,0.0,1000.0,0.0,18,360000,10,0.02194565162062645,0.00029459999999999984,0.00027234176311340385,3.642180118140858e-08,-0.014349076437121168,21.88934016227722,12.311665773391724,34.201007604599,-4.768371808516747e-10,5.969777450154368e-11
0.32550658858270964,0.0,1000.0,0.0,19,380000,8,0.021410347893834114,0.00029429999999999984,0.00011219219268764463,2.5527553990429304e-08,-0.012585166830401392,21.89689874649048,10.206021308898926,32.10292148590088,6.771087690538025e-09,-7.688067543698551e-11
0.3514972706918814,0.0,1000.0,0.0,20,400000,6,0.022569673135876656,0.00029399999999999983,0.0002573063565356352,1.7860516234835734e-08,-0.012199005960061337,21.896055698394775,7.677895784378052,29.57395315170288,-3.7193297330873065e-09,1.0870862543477244e-10
