Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Metrics/Done,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
-0.7163371845501086,0.0,1000.0,0.0,1,20000,0.005084079224616289,0.007385166916494987,0.0046819829470240715,-0.008878329768776894,107.29330825805664,12.331719160079956,119.62504720687866,-4.1961669694501325e-09,-6.675719976811934e-10,2.2281746864318848,0.3109447956085205,0.004028379917144775,0.03732193261384964,0.13955135643482208,1.0
-0.5616327228013144,0.0,1000.0,0.0,2,40000,0.008335910737514496,0.0008527636481300709,0.0006290535479235303,-0.027423009276390076,102.23295140266418,22.435834884643555,124.66879916191101,1.5258788677030566e-09,-4.291534350109316e-10,0.7215431332588196,0.17461879551410675,0.038415394723415375,0.20387400686740875,0.24200743436813354,1.0
-0.3422275046192055,0.0,1000.0,0.0,3,60000,0.008434027433395386,0.0008606122728810901,0.00037551344182137637,-0.021265504881739616,106.22147536277771,19.426605701446533,125.64809823036194,-4.577636492086867e-09,-3.0398367156792006e-10,0.9722186923027039,0.20852267742156982,0.021159328520298004,0.142861470580101,0.21448124945163727,1.0
-0.05128998396022947,0.0,1000.0,0.0,4,80000,0.006594235077500343,0.0008568577749052553,0.00022966364424736505,-0.016249332576990128,106.43908596038818,23.661258697509766,130.10035824775696,1.4305114426349519e-08,-3.8146971692576415e-10,1.2772588729858398,0.25590014457702637,0.012259472161531448,0.09361184388399124,0.20035101473331451,1.0
0.15414966906867064,0.0,1000.0,0.0,5,100000,0.007508968934416771,0.0009126580153832176,0.00016553645939076806,-0.015151488594710827,106.44415259361267,18.236546516418457,124.6807165145874,2.8610229740877458e-09,-1.072883587527329e-10,1.3722959756851196,0.2739999294281006,0.010620231740176678,0.06799258291721344,0.19966533780097961,1.0
0.36711899034362894,0.0,1000.0,0.0,6,120000,0.006689046509563923,0.001482589418887143,0.00011554064084445779,-0.012210778892040253,105.22572588920593,22.30637788772583,127.53211712837219,1.525878801089675e-08,-3.516673896530875e-10,1.721103310585022,0.27620354294776917,0.006751736160367727,0.06194940581917763,0.16048051416873932,1.0
1.0578203276702742,0.0,1000.0,0.0,7,140000,0.007387042045593262,0.002745105568349219,7.18474921491961e-05,-0.01499552559107542,104.78396797180176,20.42978048324585,125.21376156806946,1.0776519232535975e-08,-2.8908250793158174e-10,1.3198139667510986,0.24181054532527924,0.01148164551705122,0.11336167901754379,0.18321561813354492,1.0
2.0411571928998042,0.0,1000.0,0.0,8,160000,0.006367899011820555,0.00463804089624411,9.70351306613958e-06,-0.013739442452788353,104.9001476764679,22.715169191360474,127.61532878875732,4.76837147544984e-09,-4.842877140975865e-11,1.4107136726379395,0.2718116343021393,0.010049670934677124,0.10554024577140808,0.19267669320106506,1.0
2.825805754118845,0.0,1000.0,0.0,9,180000,0.006534093990921974,0.007461753847658824,2.2193269101363066e-07,-0.012983007356524467,107.81124687194824,25.950727462768555,133.7619869709015,1.1825560974898508e-08,-1.1245719633290463e-10,1.5140718221664429,0.2694780230522156,0.008724418468773365,0.10196993499994278,0.17798233032226562,1.0
3.2127006666418403,0.0,1000.0,0.0,10,200000,0.006140472833067179,0.00871308390377386,1.531387475947769e-07,-0.014951212331652641,105.9499261379242,23.9691801071167,129.91912126541138,4.577636492086867e-09,-6.658956025473728e-11,1.3076406717300415,0.27158549427986145,0.011696414090692997,0.09913845360279083,0.2076912224292755,1.0
3.681951112854557,0.0,1000.0,0.0,11,220000,0.005674946587532759,0.010595009486624011,1.0772083870451289e-07,-0.014022253453731537,105.26615452766418,22.414033889770508,127.6802008152008,9.155272984173735e-09,-1.0756775678522068e-11,1.3740342855453491,0.2819337844848633,0.010593377985060215,0.085446298122406,0.2051868736743927,1.0
4.393002302371924,0.0,1000.0,0.0,12,240000,0.006345001980662346,0.011622562635523878,7.69943733737552e-08,-0.015484383329749107,104.33301424980164,20.59860062599182,124.93162655830383,1.2588500908350397e-08,-1.7005949426440736e-10,1.3439351320266724,0.2674136459827423,0.011073194444179535,0.09318970888853073,0.19897809624671936,1.0
4.89483971380475,0.0,1000.0,0.0,13,260000,0.006172094028443098,0.01954545120346793,5.440566653554096e-08,-0.013209664262831211,107.0181655883789,18.58926010131836,125.60743713378906,3.814697002724188e-09,-6.859190299079998e-11,1.5286929607391357,0.27358895540237427,0.00855832826346159,0.09545429050922394,0.17896918952465057,1.0
5.387301363988525,0.0,1000.0,0.0,14,280000,0.005605321377515793,0.020064862340593792,3.900022284002025e-08,-0.012676315382122993,104.01077914237976,21.01118755340576,125.02197933197021,-4.577636492086867e-09,-6.533227431271271e-11,1.6232855319976807,0.31273043155670166,0.007589961867779493,0.05882517620921135,0.19265274703502655,1.0
5.5547148389716385,0.0,1000.0,0.0,15,300000,0.0065563879907131195,0.021506069305762175,2.753383222425197e-08,-0.012710090726613998,95.61807250976562,22.464431524276733,118.08251523971558,8.392333938900265e-09,-5.7450960655458516e-11,1.6133235692977905,0.2837965190410614,0.007683984935283661,0.08181407302618027,0.17590799927711487,1.0
