Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
0.22982252070662046,0.0,1000.0,1,20000,40,0.005751967430114746,0.00029939999999999996,0.0031649308559734348,0.0015609871973424924,-0.005697755930690875,12.834516525268555,51.33394503593445,64.16846323013306,-2.250671471415444e-08,4.768371461572052e-11
0.3663389652697789,0.0,1000.0,2,40000,40,0.011314806528389454,0.00029879999999999994,0.0009801280508100535,0.00023664698308453145,-0.01613551761096599,12.817314386367798,50.60075616836548,63.41807222366333,-5.0067900048134106e-08,2.309679947298804e-10
0.419650472469684,0.0,1000.0,3,60000,40,0.00921157468110323,0.00029819999999999993,0.0008783977692697596,0.00016708491147642162,-0.010416099973232708,12.29360842704773,47.10025358200073,59.39386343955994,3.02314759892397e-08,8.568167703115748e-11
0.44793275491951584,0.0,1000.0,4,80000,40,0.014289083890616894,0.0002975999999999999,0.0005077558962070159,6.7815390775359e-05,-0.011597364099267439,12.310259103775024,55.761728286743164,68.07198882102966,-4.086494342914193e-08,-9.983777693456375e-11
0.5409609738171552,0.0,1000.0,5,100000,40,0.009990323334932327,0.0002969999999999999,0.0012595845192596715,3.240387152855059e-07,-0.009622822324232089,12.313145160675049,49.11710071563721,61.43024754524231,2.403259280470138e-08,-1.5357509708380235e-10
0.6170464770052178,0.0,1000.0,6,120000,40,0.010586061514914036,0.0002963999999999999,0.000881333812189907,2.2609441220759809e-07,-0.012099259746980262,12.443231344223022,49.14142441749573,61.584657192230225,5.149841442175784e-09,1.2246892389100594e-10
0.6716417893502432,0.0,1000.0,7,140000,40,0.01375102810561657,0.00029579999999999987,0.0009897304964118386,1.594686314926124e-07,-0.012952365520218322,12.228780031204224,49.32166624069214,61.550447940826416,3.275871307550915e-08,-6.360933307858474e-11
0.7694658555569959,0.0,1000.0,8,160000,40,0.012970970012247562,0.0002951999999999999,0.001989890901325252,1.12803975466322e-07,-0.015018929584404102,12.505620956420898,47.33613967895508,59.84176230430603,4.692077482104651e-08,-1.8682330682473491e-10
0.8551620674441143,0.0,1000.0,9,180000,40,0.014014681801199913,0.0002945999999999999,0.0011286418396939727,7.90899139381407e-08,-0.013419626332475796,12.20596170425415,55.2640585899353,67.47002220153809,1.8835068615885575e-08,-1.5739351488797126e-10
0.807670936871322,0.0,1000.0,10,200000,40,0.01806747354567051,0.0002939999999999999,0.0016064804658212735,5.522059270591713e-08,-0.017315667063093034,12.804760217666626,48.97520709037781,61.77996897697449,-2.4557113675882647e-08,1.145992398199347e-10
0.8065881276509149,0.0,1000.0,11,220000,40,0.019345538690686226,0.00029339999999999987,0.0018629333973882594,3.831470974669386e-08,-0.016498874607027328,12.732028007507324,49.00433421134949,61.736363649368286,2.5272369086337676e-08,-1.6344712042148934e-11
0.8352616457805079,0.0,1000.0,12,240000,33,0.020485693588852882,0.0002927999999999999,0.0010677219980416348,2.7179531240188516e-08,-0.015772459455908695,12.645141839981079,40.16779637336731,52.812939405441284,9.536742923144104e-11,1.064036012077274e-10
0.7947138531488995,0.0,1000.0,13,260000,33,0.020102135837078094,0.0002921999999999999,0.001233184514717664,1.9042100092216786e-08,-0.01647886145187861,18.00023102760315,45.0440731048584,63.0443058013916,2.0122527644161892e-08,1.6121193269214018e-10
0.7412270173486887,0.0,1000.0,14,280000,32,0.020510602742433548,0.0002915999999999999,0.0012364152942932044,1.3242391007056088e-08,-0.015640795690715296,19.661951065063477,44.964924573898315,64.62687754631042,3.7193297330873065e-09,8.500646714315607e-11
0.8913302209460978,0.0,1000.0,15,300000,24,0.020606188103556633,0.00029099999999999986,0.0017291869641257581,9.327910510918571e-09,-0.015516122460602837,14.055206060409546,33.752450704574585,47.80765914916992,1.039505015398845e-08,6.868503682477822e-11
0.8579023955650179,0.0,1000.0,16,320000,21,0.02214251644909382,0.00029039999999999985,0.0015894834933471978,6.5758089565701475e-09,-0.013414230380234505,15.603118419647217,29.99567484855652,45.59879446029663,-8.916854810081531e-09,-5.117617440930644e-11
0.8594157619867913,0.0,1000.0,17,340000,24,0.022253993898630142,0.00028979999999999983,0.0011549820990024314,4.6985360402102055e-09,-0.014454753885464197,14.122461795806885,30.98885679244995,45.11132049560547,-6.246566819356758e-09,-6.477348518663106e-11
0.7947639344680295,0.0,1000.0,18,360000,20,0.021511994302272797,0.0002891999999999998,0.002053372758266236,3.3999200898727223e-09,-0.01338099510336039,12.75394582748413,24.313005685806274,37.06695318222046,4.863739189175931e-09,-2.7834902785461857e-11
0.7853461257014095,0.0,1000.0,19,380000,17,0.02091655507683754,0.0002885999999999998,0.001196266919915258,2.414959059430318e-09,-0.011414954658815443,12.473286628723145,20.547107219696045,33.020395278930664,9.393692046444357e-09,-1.536682239788867e-11
0.7221078254109603,0.0,1000.0,20,400000,26,0.020399386063218117,0.00028799999999999984,0.0010745279438766108,1.7260136375912083e-09,-0.013907876467544189,12.657985210418701,32.60941505432129,45.267401933670044,8.440017573718706e-09,-1.9284197502744682e-11
0.6221258948003899,0.0,1000.0,21,420000,16,0.020109273493289948,0.00028739999999999983,0.001810781483775975,1.2914080950554396e-09,-0.012179375876458332,12.38297176361084,19.24479103088379,31.627763986587524,4.625320570994518e-09,2.543092646190015e-11
