Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/KL,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv,Misc/Alpha,Misc/FinalStepNorm,Misc/xHx,Misc/gradient_norm,Misc/H_inv_g,Misc/AcceptanceStep
0.02047745931991342,0.0,1000.0,1,20000,0.0060575962997972965,0.006555340067071211,0.004702766016081189,-0.008156061172485352,108.06937837600708,23.099250316619873,131.16874480247498,-5.7220459481754915e-09,-1.0967254882032762e-09,2.3981449604034424,0.27762094140052795,0.0034775855019688606,0.04173531383275986,0.11576487123966217,1.0
-0.01636763515429573,0.0,1000.0,2,40000,0.007899151183664799,0.00041621816120255786,0.0005172371806111187,-0.01497656013816595,97.45223355293274,21.398252487182617,118.85051321983337,8.392333938900265e-09,3.8146971692576415e-10,1.383756399154663,0.21103572845458984,0.010445043444633484,0.10160864144563675,0.15250930190086365,1.0
-0.01584171984927471,0.0,1000.0,3,60000,0.007744830101728439,0.00023866884871408237,0.00023610537263133214,-0.014422424137592316,97.40805315971375,21.858534574508667,119.26660490036011,8.392333938900265e-09,-8.702277787264734e-10,1.408296823501587,0.2167440950870514,0.01008419319987297,0.12688061594963074,0.15390512347221375,1.0
0.012786007887450485,0.0,1000.0,4,80000,0.006916123908013105,0.0001476519765958166,0.00015476860998941372,-0.011289628222584724,97.59256029129028,18.89606213569641,116.48863768577576,-2.3651121949797016e-08,-9.298324332718266e-10,1.7220096588134766,0.22247451543807983,0.0067446306347846985,0.09220317751169205,0.1291947066783905,1.0
0.06600749399996339,0.0,1000.0,5,100000,0.006621189881116152,8.933145252473883e-05,8.177653641034374e-05,-0.011747248470783234,97.96853542327881,22.701090097427368,120.66963982582092,-2.5177001816700795e-08,1.9073485846288207e-10,1.603615164756775,0.22494082152843475,0.0077773043885827065,0.08539264649152756,0.14027106761932373,1.0
0.1034039601483362,0.0,1000.0,6,120000,0.006542463321238756,4.677622929674419e-05,1.863617772133769e-05,-0.01262289471924305,102.78288173675537,17.15960431098938,119.94250154495239,-1.0681151962899094e-08,-2.652406627667858e-10,1.500515103340149,0.21455560624599457,0.008882776834070683,0.10062123835086823,0.1429879516363144,1.0
0.13897147162894563,0.0,1000.0,7,140000,0.007058681920170784,1.995693016924286e-05,9.235456663782026e-07,-0.0154274208471179,100.2190899848938,19.76777672767639,119.9868848323822,-7.629394005448376e-09,1.5981495293804215e-10,1.2456153631210327,0.20349083840847015,0.01289026066660881,0.11922751367092133,0.1633657068014145,1.0
0.2070792520000523,0.0,1000.0,8,160000,0.006248193327337503,3.635358364237131e-05,6.413807945872502e-07,-0.01506177056580782,99.76896739006042,20.48950219154358,120.25848317146301,-4.1961669694501325e-09,4.284083851557874e-11,1.1768642663955688,0.2119985818862915,0.01444032322615385,0.14368142187595367,0.1801385134458542,1.0
0.33432528659127253,0.0,1000.0,9,180000,0.006223014090210199,3.991493422927885e-05,4.47555805423435e-07,-0.014667246490716934,99.83780407905579,22.47936511039734,122.31718873977661,6.790160966829717e-08,3.7634745320147545e-10,1.1778746843338013,0.25525712966918945,0.0144155602902174,0.13592766225337982,0.2167099118232727,1.0
0.4969325318469112,0.0,1000.0,10,200000,0.008041366003453732,4.3877377946416934e-05,3.1084431394399373e-07,-0.014865182340145111,102.9966356754303,20.33626079559326,123.33291244506836,1.2321471842824394e-07,-6.225891330258193e-11,1.3038113117218018,0.20291967689990997,0.011765222996473312,0.20047757029533386,0.1556357741355896,1.0
0.674086420814277,0.0,1000.0,11,220000,0.008415468037128448,4.2003757022076526e-05,2.1660339026148054e-07,-0.012726528570055962,104.43677735328674,17.864301204681396,122.30108880996704,1.1119842469042851e-07,-3.238674051164736e-10,1.5151289701461792,0.19542697072029114,0.008712248876690865,0.18392589688301086,0.12898372113704681,1.0
0.8312108322154869,0.0,1000.0,12,240000,0.006138289347290993,4.591227209562166e-05,1.5198865694050123e-07,-0.008361930958926678,98.90820980072021,22.11681318283081,121.02503609657288,-1.0681151962899094e-08,-1.1688097711903822e-10,2.0618464946746826,0.2660442292690277,0.0047045317478477955,0.09833547472953796,0.12903203070163727,1.0
0.9665455531591928,0.0,1000.0,13,260000,0.005822453647851944,5.100951526100098e-05,1.0710890932572349e-07,-0.007965832017362118,102.28138971328735,20.769367456436157,123.05080103874207,1.4190673880420945e-07,-5.406327469037464e-11,2.139772415161133,0.25814205408096313,0.004368112422525883,0.09004353731870651,0.12063995748758316,1.0
1.0530928702696793,0.0,1000.0,14,280000,0.005636600311845541,6.2774869984655e-05,7.670816699286716e-08,-0.006543630734086037,101.53837251663208,21.90273928642273,123.44112300872803,6.866454782539222e-08,-1.8663703915677843e-10,2.4573917388916016,0.27354875206947327,0.0033119204454123974,0.06522645801305771,0.11131670325994492,1.0
1.0665668917260596,0.0,1000.0,15,300000,0.0073760696686804295,6.80592545059029e-05,5.4044593264895186e-08,-0.006092357449233532,106.44453763961792,22.679124355316162,129.12367510795593,4.9209592845045336e-08,-5.90924184584729e-11,3.161778688430786,0.24906542897224426,0.002000621287152171,0.051223184913396835,0.07877383381128311,1.0
1.0306544628633532,0.0,1000.0,16,320000,0.006020843517035246,7.272456923427779e-05,3.839070360182468e-08,-0.0062990435399115086,98.52353405952454,22.631339073181152,121.15488719940186,3.6239622858147413e-08,-1.055188436627219e-10,2.9620120525360107,0.26279568672180176,0.002279578009620309,0.07361981272697449,0.08872202038764954,1.0
